15,16,3,20,6,15,18,20,2,12,8,10,7,17,7,18,1,18,12,20,5,13,1,17,20,10,17,19,7,15,4,20,14,12,6,17,9,10,12,10,11,15,3,12,4,14,16,20,14,20,7,11,19,10,17,16,11,19,5,16,11,16,16,10,12,13,17,14,15,10,9,19,2,13,12,19,16,13,15,11,15,11,8,15,11,13,9,17,1,16,12,19,19,17,4,10,18,16,20,18,7,12,11,12,20,19,14,20,10,15,19,13,12,10,17,11,5,11,16,17,6,20,4,17,7,10,17,19,18,19,16,11,3,17,8,13,14,11,14,11,8,12,19,10,4,11,14,15,12,10,5,17,8,13,19,17,19,18,10,17,3,13,10,13,14,16,19,20,5,13,17,14,1,13,5,19,3,18,9,11,17,11,6,20,4,12,16,17,5,12,20,13,14,18,12,12,1,11,8,19
4,16,17,15,20,10,14,13,20,12,16,11,16,16,4,15,15,19,16,16,12,13,4,19,9,10,7,12,8,12,17,17,5,18,2,15,6,16,20,17,16,20,19,13,6,19,3,19,13,17,19,10,14,19,13,19,20,10,8,15,15,18,18,20,14,15,8,18,19,20,15,15,17,14,12,15,19,18,2,14,11,14,17,18,5,19,11,19,5,17,3,17,18,20,2,20,1,18,17,13,1,13,4,15,18,13,5,20,3,14,11,10,4,11,12,20,14,11,17,11,9,14,9,16,9,15,11,10,19,13,14,10,4,12,20,11,12,18,16,10,20,19,19,10,1,13,14,12,5,10,10,13,12,19,2,16,10,18,6,18,12,19,10,20,18,16,8,11,16,17,17,12,10,18,11,13,17,12,14,15,10,20,20,11,3,12,20,20,8,19,18,13,11,14,10,13,14,19,16,17
18,12,15,19,6,20,4,17,19,14,12,15,12,18,16,20,17,19,14,17,16,12,6,13,7,10,7,19,15,12,7,11,11,10,17,14,7,15,8,12,7,16,3,11,20,15,11,18,18,11,16,18,17,10,6,11,14,13,18,15,11,15,9,15,4,15,14,17,3,14,19,14,13,10,4,17,12,19,10,10,1,12,2,12,11,20,10,18,8,11,5,13,7,13,10,15,9,20,1,15,19,20,3,16,13,12,3,12,16,19,14,10,14,17,10,14,11,14,1,11,4,14,8,11,11,19,7,14,13,12,15,11,20,11,10,15,15,20,3,19,3,18,5,17,15,18,11,11,17,17,19,10,13,10,5,19,18,20,14,16,15,17,12,16,13,18,18,13,1,14,15,10,10,12,9,20,9,11,11,18,17,10,10,20,6,14,11,19,15,15,5,18,12,19,15,20,8,10,13,13
17,14,17,19,2,10,9,11,12,10,20,14,5,11,10,15,19,18,6,17,18,15,8,13,15,19,2,12,13,11,19,13,5,19,18,11,10,18,8,19,14,19,14,20,16,15,12,18,1,12,2,17,6,17,15,10,14,11,20,16,9,13,1,20,3,15,16,20,12,16,9,17,4,16,5,20,17,14,1,19,18,16,18,13,20,19,3,13,11,19,11,10,3,10,19,17,6,16,9,16,17,11,17,13,12,19,8,13,17,18,20,16,3,18,12,14,10,18,5,11,10,10,8,13,14,10,4,10,20,16,8,11,1,16,16,17,6,12,10,11,5,15,1,15,6,19,9,19,12,15,10,12,12,11,5,18,8,12,8,15,10,20,8,10,18,18,17,11,11,20,8,20,16,16,16,15,3,18,8,10,10,19,8,19,7,18,6,16,17,13,11,18,13,12,10,13,9,16,11,14
14,14,16,15,15,18,9,18,14,16,7,12,20,14,19,12,17,15,12,10,8,11,19,12,12,15,13,19,14,11,17,19,18,13,19,14,18,11,11,13,3,14,18,14,16,17,13,17,14,19,20,18,1,12,2,15,8,20,15,13,7,11,4,10,15,18,4,20,12,19,1,18,12,15,17,11,13,16,5,19,16,18,20,16,5,20,19,20,17,12,19,13,13,11,15,11,4,11,11,13,13,20,2,10,6,16,18,17,1,19,2,15,18,14,12,16,8,16,1,16,8,19,12,12,1,11,19,19,16,13,14,13,12,16,18,13,7,11,8,14,8,11,1,19,4,10,5,14,7,13,7,11,8,14,11,18,13,16,9,10,16,10,7,14,20,15,16,20,13,16,15,19,6,15,15,18,1,15,16,19,5,13,12,10,13,13,19,19,5,19,7,20,10,15,11,17,8,16,18,14
20,14,2,10,12,14,14,17,19,18,1,17,10,13,1,15,8,14,6,15,20,17,15,16,15,11,14,18,14,10,19,10,19,14,6,13,10,10,20,12,20,10,7,12,16,16,11,12,18,20,11,13,3,19,7,20,17,13,18,14,9,17,10,20,8,10,6,16,8,15,11,14,8,16,18,13,14,15,17,18,13,11,18,11,12,19,9,19,14,19,13,14,4,11,8,18,13,17,5,12,10,14,16,19,16,13,19,12,2,20,12,10,17,10,5,18,9,13,5,16,2,12,8,19,12,19,7,15,12,20,4,18,4,12,16,11,13,20,4,18,11,16,15,11,9,20,8,17,3,13,16,14,16,16,4,13,14,12,1,20,18,19,19,20,12,15,3,15,2,17,3,19,19,10,1,11,4,13,19,20,17,18,7,20,12,10,12,16,5,19,6,14,8,13,16,11,5,17,2,11
9,10,18,11,5,15,5,18,1,16,8,12,8,13,15,15,14,20,17,15,14,19,2,11,5,16,19,14,2,19,19,17,1,19,18,12,5,17,6,18,1,19,9,14,15,12,15,13,17,12,17,12,4,10,13,11,9,19,1,12,11,16,3,19,13,13,17,12,16,12,13,18,12,11,1,19,20,10,20,12,12,15,19,13,4,13,10,15,11,14,9,16,16,13,20,19,11,15,1,13,16,12,20,16,3,17,19,10,11,17,9,13,7,18,12,19,10,17,12,14,9,20,6,17,18,13,2,16,14,18,17,16,8,20,15,11,20,11,11,19,11,20,8,10,13,11,14,16,10,14,9,13,17,14,19,10,2,11,6,13,16,18,19,11,8,18,6,18,12,19,1,15,6,17,13,20,18,14,19,18,10,15,15,12,9,20,16,18,13,19,3,18,2,17,14,20,17,10,15,13
9,14,1,16,9,13,9,20,1,15,17,17,13,16,18,16,7,15,8,20,20,17,5,13,15,12,20,18,1,19,10,13,12,19,11,13,8,10,16,16,13,14,12,14,9,16,20,17,3,18,16,12,12,10,1,16,18,16,19,16,3,16,8,11,16,13,9,14,17,10,10,11,10,10,9,16,4,10,20,12,2,11,6,12,6,17,6,18,19,12,11,15,20,11,3,19,14,11,5,12,4,17,6,10,11,13,6,18,8,16,13,14,15,19,8,16,16,11,12,14,16,17,17,15,6,20,18,20,9,10,11,19,4,10,18,13,4,20,19,19,6,13,7,16,7,12,2,20,5,19,13,13,16,14,19,13,20,17,20,20,14,20,17,10,17,18,3,12,5,16,15,16,6,15,15,18,1,20,9,10,18,18,15,12,9,12,14,11,2,12,2,20,11,11,8,19,5,11,10,15
14,16,3,17,10,19,17,12,16,14,6,16,10,19,12,14,5,16,8,11,5,11,10,20,12,16,12,18,19,20,11,12,1,14,2,17,17,15,2,15,11,16,7,20,1,11,3,18,10,11,15,14,5,16,6,18,10,18,2,13,1,14,1,17,14,18,8,17,4,18,4,18,4,12,19,13,1,12,4,16,19,14,19,15,18,11,12,10,14,19,11,18,9,13,18,13,17,11,11,19,12,15,11,14,3,12,7,10,1,17,3,11,14,16,19,16,18,16,11,15,12,16,9,19,9,18,16,19,5,10,6,20,20,12,5,17,9,15,5,15,2,10,14,17,1,16,1,10,14,19,8,11,13,19,18,12,4,15,20,14,11,17,18,11,14,17,6,14,8,18,19,11,3,12,17,20,15,19,10,15,12,13,4,10,8,18,3,14,2,14,17,11,2,20,8,12,11,14,12,13
15,19,9,16,6,13,6,19,17,10,11,14,6,10,8,19,19,19,16,14,11,15,10,11,9,16,14,17,18,14,4,20,16,19,12,20,11,19,1,14,17,17,13,15,10,11,2,16,19,13,20,11,10,20,7,19,19,17,7,20,15,11,2,17,12,12,13,15,4,14,15,13,10,10,4,17,7,15,8,16,12,16,20,11,10,13,18,20,17,12,9,18,1,14,15,11,17,14,5,17,7,15,4,11,9,15,2,16,3,13,18,11,6,10,6,12,11,14,12,16,2,14,4,14,4,13,19,16,9,12,5,12,14,14,10,20,11,14,15,15,16,14,18,11,3,17,17,18,17,18,7,11,11,15,11,11,9,18,1,14,1,18,4,11,3,19,20,15,5,17,2,18,18,20,8,17,5,18,4,10,7,14,2,20,14,10,3,14,7,10,1,16,11,13,8,19,6,11,6,13
